symbol,date,entry_path,pnl_pct,mfe_pct,label,open,high,low,close,volume,delivery_qty,delivery_pct,atr_20,rdv,mfm,dist_high_10,dist_low_10,range_pos_10,range_width_10,dist_high_22,dist_low_22,range_pos_22,range_width_22,dist_high_63,dist_low_63,range_pos_63,range_width_63,dist_high_252,dist_low_252,range_pos_252,range_width_252,is_ath,bars_at_base,base_tightness,fas,prt,prt_slope,prt_accel,dvl_10,dvl_rate_10,velocity_10,velocity_10_norm,price_distance_10,ars_10,pdd_10,dvl_30,dvl_rate_30,velocity_30,velocity_30_norm,price_distance_30,ars_30,pdd_30,dvl_60,dvl_rate_60,velocity_60,velocity_60_norm,price_distance_60,ars_60,pdd_60,dvl_120,dvl_rate_120,velocity_120,velocity_120_norm,price_distance_120,ars_120,pdd_120,cdvl,vel_dp5,dvwap_10,dvwap_30,dvwap_60,dvwap_120,cwvap,smoothed_cwvap,cts,cts_slope,cts_accel,cts_slope_trough,cts_slope_threshold,va_high,va_low,va_profile_width,dvwap_bear_stack,cwc,cwc_slope,mcs_composite,mcs_composite_slope,price_slope_z,rdv_slope_z,psz_buy_threshold,psz_sell_threshold,rsz_buy_threshold,rsz_sell_threshold,psz_smooth,psz_v,rsz_smooth,rsz_v,accum_div,distrib_div,coherence_raw,coherence,cts_buy_threshold,cts_sell_threshold,fas_buy_threshold,fas_sell_threshold,cts_accel_threshold,pdd_120_threshold,psz_v_extreme_threshold,prt_slope_buy_threshold,prt_slope_sell_threshold
ABB,2020-10-05,institutional_floor,0.91,6.59,0,865.0,878.0,865.0,870.75,59775,24113,40.34,23.838644617575294,0.15427763255844754,0.14705882352941177,-3.880119218456781,2.852586817859671,0.4072512647554805,6.810221073786959,-12.116471538150984,2.852586817859671,0.16747572815533973,16.56043640539764,-13.701684836471753,2.852586817859671,0.148706896551724,18.65058857306919,-39.29549841772152,20.602493074792243,0.20879900014909833,81.81540349866135,False,11,0.36514778325123126,-0.7117765176768156,-0.662239527115325,0.1578463669712895,0.038142797699273576,1261934.0,126193.4,153963.90000000002,1.6435289581289154,-1.2605582440641476,0.9030711391779118,-1.1636293832420594,4129923.0,137664.1,44544.09642857164,0.46023297482539793,-4.7024485577235,1.1658587510100178,-4.868307308733518,6060289.0,101004.81666666667,-10533.722358175824,-0.1033536790094764,-1.9380296464480453,1.042438691380402,-1.9804683378284473,12392318.0,103269.31666666667,60228.23475965539,0.7056831068284185,-1.8918860834373765,1.0737662932943535,-1.9656523767317298,0.7117576224171918,5.0,866.0191192192254,920.1872291665403,919.4392934664836,886.8986939617461,888.4204815958021,887.2587593680023,-0.9558173884131215,-0.0654021694506178,0.013969364603705533,0,0.02439945077740132,909.4593338440634,823.6689491723446,3.5987945643717065,False,0.8553647582203765,0.06744778276300431,0.012691605189160585,-0.00794415523819353,-0.2481,0.1147,-0.3135,0.0638,-0.1514,0.0894,-0.2824,0.027703,0.2473,0.068034,0.0285,0.0,0.455,0.521,-0.85,0.8138,-0.7461,0.1745,0.012716,-2.9683,0.1469,-0.6412,0.4983
ADANIENT,2021-09-24,institutional_floor,-8.57,7.52,0,1483.0,1516.0,1455.0,1461.7,2760295,255421,9.25,50.851691092326625,0.22166887666425664,-0.7803278688524575,-6.120745022479124,5.816773446266344,0.45744378024480553,12.016829718820556,-10.23979858147318,5.816773446266344,0.3251719951436669,16.90497366080592,-10.23979858147318,9.675483023822926,0.43608386878593175,20.229869330231924,-14.878872583275099,467.65048543689323,0.8249640337055559,99.86317301771909,False,0,0.5940142035847145,0.27316471582465407,-0.03561051353554688,0.15498737857687053,0.06495649871617311,16346728.0,1634672.8,-42276.30000000028,-0.05310476044509294,-1.6380969484133772,1.4401050840502112,-2.0782020324635884,31130666.0,1037688.8666666667,916033.4821428574,1.0077184591913209,0.4847429745304912,1.1879537367210753,0.2967892378094159,47348165.0,789136.0833333334,-998589.3421579555,-0.8295412444102995,-1.2162820679395832,0.9776668219324384,-1.1939488898720216,147400588.0,1228338.2333333334,17710.896499024904,0.014534730384084276,8.466778405034571,1.0020187906107538,8.464759614423818,0.06868512161118709,5.0,1499.1320041236245,1496.9256776540694,1461.1381060217989,1384.7384976813,1468.3539061795682,1458.4228399964236,-0.6920528744645489,-0.101914836767855,0.041236281192037434,0,0.022254848287183285,1530.3256090870073,1352.3715207355604,3.499472377985472,False,0.939302602784957,0.007777104902328438,0.0431109468133569,0.0029432056604973998,-0.2628,-0.2241,-0.3095,0.1822,-0.1731,0.154,-0.2218,0.089323,-0.2967,-0.183776,0.0,0.0,0.651,0.596,-0.3718,0.6378,0.2269,0.7747,0.009053,12.9898,0.1769,-0.7656,0.4731
ADANIPORTS,2019-02-05,institutional_floor,9.41,9.29,1,333.1,340.95,330.75,339.8,3262960,952469,29.19,12.74197407589843,0.6019490068450307,0.7745098039215729,-13.31632653061224,16.33002396439575,0.4774774774774775,29.399646851088868,-15.619567916563193,16.33002396439575,0.4312839059674503,32.548557975279564,-15.619567916563193,16.33002396439575,0.4312839059674503,32.548557975279564,-15.619567916563193,16.33002396439575,0.4312839059674503,32.548557975279564,False,0,0.9032549728752262,-0.1556799113761138,0.014669057372016694,0.8003814208181177,0.17168929808473107,22981846.0,2298184.6,596181.0999999986,0.6377637529379286,-3.9868233679810032,1.9336412239960292,-4.920464591977033,33856838.0,1128561.2666666666,2192555.517857143,5.5164018925163685,,2.222472169757145,,33856838.0,564280.6333333333,,,,2.222472169757145,,33856838.0,282140.31666666665,,,,2.222472169757145,,2.2444898577152017,0.0,345.68138869673425,359.98857210719115,359.98857210719115,359.98857210719115,350.36059720504716,344.20817263874653,-1.0,-0.234555386834194,0.07913167340484142,1,0.0,351.415625,292.1,4.655136217251928,False,0.9551540118813148,0.003867056618154695,-0.12364630269140783,-0.027394633646418767,-0.2798,-0.2592,0.0,0.0,0.0,0.0,-0.2854,0.042388,-0.2766,-0.153802,0.0,0.0,0.747,0.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADANIPOWER,2019-11-22,institutional_floor,-3.85,1.92,0,12.34,12.459999999999999,11.940000000000001,12.1,43451120,7236155,16.65,0.5356894003648891,0.719560810809131,-0.3846153846153883,-16.088765603328703,2.282333051563817,0.10424710424710416,21.404958677685933,-18.021680216802167,2.282333051563817,0.09215017064846402,24.21487603305785,-18.021680216802167,9.700815956482325,0.2868632707774799,30.82644628099174,-18.021680216802167,81.9548872180451,0.6720098643649814,67.02479338842974,False,0,0.6943699731903479,-0.16376071118672786,-0.5076941293434759,-0.11006808091617928,0.061305692605880084,115623235.0,11562323.5,-1489068.0000000207,-0.16167548126504339,-3.7521742984477053,1.2112989924329272,-3.963473290880633,303544375.0,10118145.833333334,-476973.78571428114,-0.05172183498339158,0.44802081175495034,1.0002163421872021,0.4478044695677482,569568245.0,9492804.083333334,-738356.9165739798,-0.07184202915006763,0.8400390220405298,1.0459489659475214,0.7940900560930084,1340491110.0,11170759.25,-2781888.0373714995,-0.23087481466352103,5.114904267535679,0.9693697996264697,5.14553446790921,-0.13351828365535115,5.0,12.565652884197851,12.928767958380547,12.739806703207057,12.057526036203596,12.442300380657933,12.280748946449531,-1.0,-0.1302427824746627,0.07218025467204454,0,0.03808567247745194,13.094545182415928,11.78196442931985,2.4502645604001194,False,0.8552837747051716,0.0236126864196443,0.045611214091421715,-0.01566949550928845,-0.2797,-0.0937,-0.2944,0.2446,-0.1901,0.1206,-0.292,0.045594,-0.0842,-0.043684,0.0,0.0,0.574,0.5,-0.8315,0.8966,-0.0602,0.9263,0.010882,6.5628,0.1664,-1.1458,0.74
AMBUJACEM,2023-02-07,institutional_floor,-10.57,0.0,0,384.5,406.7,371.7,384.05,42723721,13471438,31.53,30.16886490068208,1.6639654611972035,-0.294285714285713,-24.473942969518188,21.8046305106248,0.3558488612836439,50.3059497461268,-27.32519632888637,21.8046305106248,0.3225428102275392,55.50058586121599,-35.77759197324414,21.8046305106248,0.24319066147859922,73.61020700429631,-35.77759197324414,40.16423357664234,0.3396604938271605,84.36401510220023,False,0,0.6834099752387689,-0.4463061141725033,-0.4068127084468762,0.3686870932950948,0.08283631761381575,149225870.0,14922587.0,12878828.8,4.3904567285794895,-3.8798277756003228,3.097816240361977,-5.9776440159623,176166797.0,5872226.566666666,10643823.903571429,4.592100369292876,-4.312392939817188,2.13197396595469,-5.4443669057718775,235134829.0,3918913.816666667,2708232.1223581717,0.9648478459593446,-6.505050841192337,1.6120076899243065,-7.117058531116644,512351563.0,4269596.358333333,339819.9034454007,0.09706803172864863,-0.39941840833817965,1.1923826378315845,-0.5918010461697641,3.335656876979534,5.0,380.48238509559553,397.63438939811283,432.7995341907558,470.06992585853317,392.8394315753139,372.8929787531015,-1.0,-0.10776566322024003,0.13197059162028643,0,0.07242868565409193,427.36585518342787,325.9428869790133,3.361842367563572,True,0.9854413067780817,0.06191663154189246,-0.4565924226087907,-0.01266496324885269,-0.2608,-0.1476,-0.3217,0.0902,-0.2182,0.0819,-0.252,0.056517,-0.173,-0.170958,0.0,0.0,0.878,0.826,-1.0,1.0,-0.4504,0.9358,0.021255,11.4242,0.1776,-0.7706,0.5588
APOLLOHOSP,2019-02-20,institutional_floor,10.14,10.18,1,1127.0,1143.4,1120.0,1129.6,1188434,724814,60.99,43.79000697464693,2.254919864470983,-0.022222222222235695,-14.35936315390448,4.29323238851445,0.1971174226367104,20.883498583569416,-16.812725532071592,4.29323238851445,0.16921397379912653,24.327195467422115,-18.57271580464949,4.29323238851445,0.1528850895939503,26.925460339943353,-18.57271580464949,4.29323238851445,0.1528850895939503,26.925460339943353,False,9,0.7756041426927505,-0.8176977646838968,-0.6467311464070951,0.2643525672238206,0.08249575150644063,4519904.0,451990.4,157509.4999999998,0.6783262095433074,-3.9837856180521105,1.5062679155336993,-4.49005353358581,9159979.0,305332.63333333336,311189.90357142873,2.103048423636865,-3.146836676225746,1.3681778255266956,-3.515014501752442,10585476.0,176424.6,300910.3348164627,3.959948576893324,,1.5302779858072773,,10585476.0,88212.3,,,,1.5302779858072773,,1.7642439272554657,0.0,1155.4601018163746,1222.0063140430866,1227.8156514938148,1227.8156514938148,1182.2680312823868,1168.2435336461008,-1.0,-0.05971278035219411,0.0682095943629512,0,0.0,1224.584858467095,1119.8167127655117,2.3925126516248523,False,0.9564636979613049,0.04462459352795196,-0.29961959822368006,-0.010198779285613377,-0.2841,-0.0439,-0.3109,0.1272,-0.2052,0.0799,-0.2758,0.045064,-0.1381,-0.114691,0.0,0.0,0.685,0.666,0.0,0.0,-0.9287,1.0366,0.0,0.0,0.0,0.0,0.0
ASIANPAINT,2022-03-10,institutional_floor,8.59,9.35,1,3000.0,3040.0,2891.2,2912.8,3971987,1793354,45.15,113.22751765572302,1.9012274596488998,-0.5413511057255338,-8.912377259365813,12.05878392675093,0.5237697384911022,20.545523207909923,-11.650338196487606,12.05878392675093,0.4493584689269589,23.947747871463886,-18.863509749303617,12.05878392675093,0.3164084187149854,34.01023070585004,-18.863509749303617,24.31659588997247,0.45691487228838373,42.80932436143915,False,0,0.604098319285318,-0.17735976675594428,-0.3238081089104312,0.41261432718957,0.10513914871878272,15603489.0,1560348.9,1246190.5999999992,2.1763670716589587,-2.8650279253349242,2.4917018731819387,-4.356729798516863,23802314.0,793410.4666666667,657089.8964285711,1.1707592668379174,-2.0692849658013954,1.3176446488688853,-2.3869296146702808,39519078.0,658651.3,24903.254282534836,0.04336819109299134,-3.39758397927357,1.1862982667531814,-3.5838822460267514,77108218.0,642568.4833333333,78154.6707974433,0.13858071899113017,-3.8815652687567836,1.122475998036057,-4.00404126679284,1.215436958205054,5.0,2874.2732610522685,2979.4438193932906,3118.4170897827385,3146.1209016260673,2953.3740533760165,2908.204574671231,-1.0,-0.20179077844163973,0.051038789677142635,1,0.050173468477250675,3111.635388337805,2710.490686143833,3.5428198948393748,True,0.8941807641660763,0.06729308975440011,-0.5196586696796203,-0.05274926734016006,-0.2531,-0.0011,-0.3291,0.2454,-0.238,0.1438,-0.2397,0.069502,0.0038,-0.102215,0.0,0.0,0.539,0.639,-1.0,0.7246,-0.2871,1.0397,0.010269,3.8526,0.1641,-1.0096,0.5935
DMART,2020-07-23,institutional_floor,5.3,6.58,1,2107.7,2148.0,2095.0,2100.35,771244,307751,39.9,78.03948021238372,0.5796250633771568,-0.7981132075471733,-10.320018786960153,7.434782608695648,0.3755328768892904,18.427881067441152,-13.351897689768979,7.434782608695648,0.30991471215351796,22.329611731378105,-16.883656509695292,7.434782608695648,0.25410839160839144,27.233556312043234,-17.955078125000004,55.351331360946745,0.6194950331125827,57.51422381983955,False,0,0.6766608391608395,-0.10506846506060064,-0.3536249875885506,0.19059821981373487,0.05253630436828079,8544307.0,854430.7,312707.00000000006,0.7999778866195771,-2.819085921654937,2.1402696184426397,-3.959355540097577,13528199.0,450939.9666666667,205076.18928571438,0.5465209108076574,-3.9230143405211786,1.23936028897118,-4.1623746294923585,25612886.0,426881.43333333335,32100.46963292487,0.07689297680546477,-2.6326418300182164,1.1513641532258398,-2.7840059832440565,55613157.0,463442.975,145154.64137260302,0.3562915558049831,1.944528584596076,1.0849254383376195,1.8596031462584566,0.5136955502315141,5.0,2071.83770221612,2164.420525434263,2226.226494853609,2251.6245635395003,2135.884320388706,2100.090358769458,-1.0,-0.18452486711016466,0.05717023617914209,0,0.01075702970901336,2282.46152259562,2010.4129117996279,3.486038221367112,True,0.8871167584460102,0.08146067245293251,-0.362202586521496,-0.024134246812499552,-0.249,-0.0387,-0.2988,0.1476,-0.1578,0.1414,-0.2433,0.072739,-0.0071,-0.072099,0.0,0.0,0.708,0.672,-0.3794,0.2945,-0.1241,0.8156,0.006917,5.5844,0.1964,-0.7927,0.652
DMART,2020-10-19,institutional_floor,9.19,8.53,1,1969.05,2140.0,1954.85,2094.3,3267640,742261,22.72,71.449681572436,1.9782964967413563,0.5063462057791003,-2.1355140186915804,7.133539657774268,0.7531731028895501,8.84066275127728,-6.587867975022293,7.133539657774268,0.4856346857043365,13.711025163539134,-14.343558282208582,7.133539657774268,0.2845047434458844,23.40400133696223,-18.191406249999993,23.194117647058835,0.45848837209302346,41.063839946521504,False,0,0.3777415077017241,-0.1342226125611966,-0.5018812443717745,0.305224698659841,0.0822167701848346,4720283.0,472028.3,306398.8999999995,0.7813980155827989,-0.2260331976934942,1.4156645679548059,-0.6416977656482998,11489857.0,382995.23333333334,19566.478571428564,0.04656948911244385,-2.1994499701259027,1.0617709919242577,-2.26122096205016,22184469.0,369741.15,-104780.12591768702,-0.24528183222660208,0.8803398225957353,0.8846246245406817,0.9957151980550536,48452015.0,403766.7916666667,-191022.38546818623,-0.4528683820746099,-3.49966570174981,1.0186852031658489,-3.518350904915659,0.06946986939177596,0.0,2034.1185631349965,2105.5301363013255,2151.229477649234,2185.274907664137,2110.960800786791,2097.181803498874,-0.9360390196471021,-0.08529085072400819,0.03495585732668136,0,0.036347906659824666,2228.9773754718935,1992.2408044897197,3.3133327647117534,True,0.3177247665789314,0.048698902380314345,-0.15878620050874803,-0.06919698649361235,-0.2334,0.1831,-0.3269,0.2006,-0.1793,0.1317,-0.2831,0.041412,0.1256,-0.093973,0.0427,0.0,0.489,0.556,-0.6234,0.9313,-0.4479,0.5119,0.012534,0.8401,0.1313,-0.7233,0.498
DMART,2023-05-24,institutional_floor,15.04,14.04,1,3432.0,3439.9,3406.2,3429.55,148601,103035,69.34,70.45294964412292,0.5919884630190348,0.3857566765578739,-8.057424733921335,2.3135441527446354,0.2051044697170066,11.024770013558626,-8.545333333333328,2.3135441527446354,0.19484924623115624,11.60502106690382,-8.545333333333328,4.1783110571081465,0.30032751091703097,13.354521730256156,-25.59014970709481,4.1783110571081465,0.10444191343963567,38.40153956058375,False,8,0.825545851528384,-0.7755126048863548,-0.7883405313086381,-0.2773929895245293,0.03672490629852484,2109164.0,210916.4,-22154.400000000067,-0.14356811364448166,-3.4455619136770923,1.3671358006390038,-3.812697714316096,4418084.0,147269.46666666667,60535.1035714285,0.3630119365254322,-0.3002003479887508,1.0326236611396526,-0.33282400912840343,9141096.0,152351.6,-101044.46963292568,-0.5553455412935466,-1.3633212020955048,0.9759585424937719,-1.3392797445892768,21239025.0,176991.875,-4092.950263962399,-0.02298792761438272,-6.786798883726881,1.0030092745734398,-6.789808158300321,-0.09526393945594996,5.0,3495.161938210177,3516.5830152759336,3470.831345673555,3639.7288127906063,3512.5822103462774,3493.2160096716643,-1.0,-0.14886424834027373,0.06846162602883184,0,0.043448930384304765,3568.405792994827,3352.4930279613855,3.064637692588827,False,0.7229704658297101,0.03413130625332649,-0.12967039296632923,-0.029366474314786232,-0.2898,-0.1522,-0.3149,0.1052,-0.1526,0.1087,-0.3493,-0.012798,-0.1982,-0.141247,0.0,0.0,0.802,0.702,-1.0,1.0,-0.9579,0.1051,0.01891,-9.1384,0.161,-0.7461,0.6662
