DAS,CWC,FAS,BT,Vol,SL,TP,BE,Trades,Win Rate,Avg P&L,Profit Factor,Avg Duration,_avg_pnl_raw
-2.0,0.35,-0.1,0.32,0.0/0.0,-10.0%,+15.0%,+5.0%,12,83.3%,+1.36%,2.13x,23.3,1.3624999999999998
-1.8,0.45,-0.3,0.38,0.0/0.0,-10.0%,+15.0%,+5.0%,31,74.2%,+1.36%,2.13x,23.8,1.3596774193548387
-2.0,0.45,-0.3,0.38,0.0/0.0,-10.0%,+15.0%,+5.0%,31,74.2%,+1.36%,2.13x,23.8,1.3596774193548387
-2.2,0.45,-0.3,0.38,0.0/0.0,-10.0%,+15.0%,+5.0%,31,74.2%,+1.36%,2.13x,23.8,1.3596774193548387
-1.8,0.35,-0.3,0.38,0.0/0.0,-10.0%,+15.0%,+5.0%,39,71.8%,+1.23%,1.74x,24.1,1.2264102564102566
-2.0,0.35,-0.3,0.38,0.0/0.0,-10.0%,+15.0%,+5.0%,39,71.8%,+1.23%,1.74x,24.1,1.2264102564102566
-2.2,0.35,-0.3,0.38,0.0/0.0,-10.0%,+15.0%,+5.0%,39,71.8%,+1.23%,1.74x,24.1,1.2264102564102566
-2.0,0.45,-0.1,0.35,0.0/0.0,-10.0%,+15.0%,+5.0%,12,83.3%,+1.22%,2.09x,20.6,1.2208333333333334
-1.8,0.45,-0.1,0.35,0.0/0.0,-10.0%,+15.0%,+5.0%,12,83.3%,+1.22%,2.09x,20.6,1.2208333333333334
-2.0,0.45,-0.1,0.38,0.0/0.0,-10.0%,+15.0%,+5.0%,12,83.3%,+1.22%,2.09x,20.6,1.2208333333333334
-2.2,0.45,-0.1,0.35,0.0/0.0,-10.0%,+15.0%,+5.0%,12,83.3%,+1.22%,2.09x,20.6,1.2208333333333334
-1.8,0.45,-0.1,0.38,0.0/0.0,-10.0%,+15.0%,+5.0%,12,83.3%,+1.22%,2.09x,20.6,1.2208333333333334
-2.2,0.45,-0.1,0.38,0.0/0.0,-10.0%,+15.0%,+5.0%,12,83.3%,+1.22%,2.09x,20.6,1.2208333333333334
-1.8,0.45,-0.3,0.35,0.0/0.0,-10.0%,+15.0%,+5.0%,27,70.4%,+1.22%,1.82x,24.4,1.2207407407407407
-2.2,0.45,-0.3,0.35,0.0/0.0,-10.0%,+15.0%,+5.0%,27,70.4%,+1.22%,1.82x,24.4,1.2207407407407407
-2.0,0.45,-0.3,0.35,0.0/0.0,-10.0%,+15.0%,+5.0%,27,70.4%,+1.22%,1.82x,24.4,1.2207407407407407
-2.2,0.4,-0.1,0.38,0.0/0.0,-10.0%,+15.0%,+5.0%,13,76.9%,+1.20%,2.04x,22.0,1.1961538461538461
-2.2,0.4,-0.1,0.35,0.0/0.0,-10.0%,+15.0%,+5.0%,13,76.9%,+1.20%,2.04x,22.0,1.1961538461538461
-1.8,0.4,-0.1,0.35,0.0/0.0,-10.0%,+15.0%,+5.0%,13,76.9%,+1.20%,2.04x,22.0,1.1961538461538461
-1.8,0.4,-0.1,0.38,0.0/0.0,-10.0%,+15.0%,+5.0%,13,76.9%,+1.20%,2.04x,22.0,1.1961538461538461
-2.0,0.4,-0.1,0.38,0.0/0.0,-10.0%,+15.0%,+5.0%,13,76.9%,+1.20%,2.04x,22.0,1.1961538461538461
-2.0,0.4,-0.1,0.35,0.0/0.0,-10.0%,+15.0%,+5.0%,13,76.9%,+1.20%,2.04x,22.0,1.1961538461538461
-1.8,0.35,-0.3,0.35,0.0/0.0,-10.0%,+12.0%,+4.0%,35,65.7%,+1.19%,1.74x,23.7,1.1860000000000002
-2.0,0.35,-0.3,0.35,0.0/0.0,-10.0%,+12.0%,+4.0%,35,65.7%,+1.19%,1.74x,23.7,1.1860000000000002
-2.2,0.35,-0.3,0.35,0.0/0.0,-10.0%,+12.0%,+4.0%,35,65.7%,+1.19%,1.74x,23.7,1.1860000000000002
-2.2,0.5,-0.3,0.38,0.0/0.0,-10.0%,+15.0%,+5.0%,27,74.1%,+1.11%,1.84x,23.0,1.1114814814814815
-2.0,0.5,-0.3,0.38,0.0/0.0,-10.0%,+15.0%,+5.0%,27,74.1%,+1.11%,1.84x,23.0,1.1114814814814815
-1.8,0.5,-0.3,0.38,0.0/0.0,-10.0%,+15.0%,+5.0%,27,74.1%,+1.11%,1.84x,23.0,1.1114814814814815
-1.8,0.35,-0.3,0.35,0.0/0.0,-10.0%,+15.0%,+5.0%,35,68.6%,+1.10%,1.57x,24.6,1.104
-2.2,0.35,-0.3,0.35,0.0/0.0,-10.0%,+15.0%,+5.0%,35,68.6%,+1.10%,1.57x,24.6,1.104
-2.0,0.35,-0.3,0.35,0.0/0.0,-10.0%,+15.0%,+5.0%,35,68.6%,+1.10%,1.57x,24.6,1.104
-2.2,0.5,-0.3,0.35,0.0/0.0,-10.0%,+15.0%,+5.0%,23,69.6%,+0.91%,1.54x,23.7,0.9052173913043476
-2.0,0.5,-0.3,0.35,0.0/0.0,-10.0%,+15.0%,+5.0%,23,69.6%,+0.91%,1.54x,23.7,0.9052173913043476
-1.8,0.5,-0.3,0.35,0.0/0.0,-10.0%,+15.0%,+5.0%,23,69.6%,+0.91%,1.54x,23.7,0.9052173913043476
