symbol,entry_date,entry_price,exit_date,exit_price,pnl_pct,duration,entry_tag,exit_reason
POWERGRID,2025-12-24,268.05,2026-01-08,264.0,-1.51,10,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.ST_CROSS
RELIANCE,2026-01-30,1395.4,2026-02-16,1420.1,1.77,11,Oversold-Decel,ExitReason.ST_CROSS
RELIANCE,2026-03-04,1345.0,2026-04-28,1358.0,0.97,35,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.CTS_NEAR_MISS_ROLLOVER
SBILIFE,2026-03-20,1896.9,2026-04-23,1865.0,-1.68,20,Oversold-Decel,ExitReason.ST_CROSS
SBIN,2026-05-25,969.6,2026-06-05,977.7,0.84,8,SavgolCTS Trend-Pullback,End of Data (Open Trade)
SUNPHARMA,2026-02-04,1704.4,2026-02-16,1697.5,-0.4,8,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.ST_CROSS
SUNPHARMA,2026-04-27,1733.5,2026-05-26,1830.0,5.57,20,Oversold-Decel,ExitReason.CTS_NEAR_MISS_ROLLOVER
TCS,2026-03-23,2383.8,2026-04-20,2587.1,8.53,16,Oversold-Decel,ExitReason.ST_CROSS
TCS,2026-05-27,2284.2,2026-06-05,2198.9,-3.73,6,Oversold-Decel,End of Data (Open Trade)
TATACONSUM,2026-03-19,1044.6,2026-04-29,1147.7,9.87,25,Oversold-Decel,ExitReason.PRT_ST_CROSS
TMPV,2025-12-18,345.8,2026-01-08,363.3,5.06,14,Oversold-Decel,ExitReason.ST_CROSS
TMPV,2026-03-25,317.95,2026-04-23,359.95,13.21,17,Oversold-Decel,ExitReason.PRT_ST_CROSS
TECHM,2026-03-09,1336.3,2026-04-22,1463.4,9.51,28,SavgolCTS Universal-Cross,ExitReason.CTS_NEAR_MISS_ROLLOVER
TECHM,2026-05-11,1457.4,2026-06-05,1483.5,1.79,18,SavgolCTS SpringBoard,End of Data (Open Trade)
TRENT,2025-12-17,2696.7999999999997,2026-02-18,2781.27,3.13,42,Oversold-Decel,ExitReason.ST_CROSS
TRENT,2026-03-20,2373.0666666666666,2026-05-04,2756.67,16.16,26,Oversold-Decel,ExitReason.ST_CROSS
ULTRACEMCO,2026-03-25,11204.0,2026-04-22,12013.0,7.22,16,Oversold-Decel,ExitReason.ST_CROSS
WIPRO,2026-03-11,202.23,2026-04-21,203.0,0.38,25,Oversold-Decel,ExitReason.ST_CROSS
